Date,Open,High,Low,Close,Volume
2019-10-23,909.52,912.35,908.14,912.35,2996768667
2019-10-24,912.35,913.97,909.12,911,3187205374
2019-10-25,911,913.82,910.02,913.11,2986611777
2019-10-28,915.36,915.97,914.58,914.58,3572327757
2019-10-29,914.71,915.92,914.53,914.66,3655864182
2019-10-30,910.74,913.46,910.12,913.46,3844542438
2019-10-31,907.87,908.92,906.84,908.87,4207519050
2019-11-01,915.07,917.28,914.93,917.28,3487929887
2019-11-04,917.3,922.72,917.3,922.14,3685085957
2019-11-05,922.16,925.08,921.11,921.69,3924394466
2019-11-06,921.69,921.74,917.86,918.23,3936786631
2019-11-07,918.24,922.71,917.91,918.38,3637119829
2019-11-08,918.37,918.37,915.34,917.74,3142846473
2019-11-11,917.74,917.74,914.14,915.77,2581235663
2019-11-12,915.77,917.63,914.13,914.44,3112932504
2019-11-13,914.44,914.44,910.83,911.5,3046114965
2019-11-14,911.5,912.36,910.06,910.59,2878800844
2019-11-15,910.59,914.37,910.59,914.16,2938105401
2019-11-18,914.17,914.17,910.64,911.01,2998397490
2019-11-19,911,911.77,908.37,909.33,3170211204
2019-11-20,909.32,909.5,904.34,906.28,3479536683
2019-11-21,906.28,906.93,903.66,904.57,3209335743
2019-11-22,904.57,906.94,904.45,906.67,2897774059
2019-11-25,906.71,914.33,906.71,913.98,3024959962
2019-11-26,914,915.07,913.16,913.91,3820222523
2019-11-27,913.91,916.41,913.88,916.4,2638831298
2019-11-29,916.39,916.39,913.8,913.8,1567118380
2019-12-02,913.79,914.45,907.5,907.71,2779044237
2019-12-03,907.32,907.32,900.22,903.53,3047441409
2019-12-04,903.54,909.51,903.54,908.13,3219568118
2019-12-05,908.15,909.95,907.28,907.95,2863778675
2019-12-06,907.97,915.15,907.97,914.6,3043812013
2019-12-09,914.6,916.02,914.15,914.26,2757037121
2019-12-10,914.26,915.51,913.4,914.27,2883317147
2019-12-11,914.27,916.05,913.99,916.05,2840604305
2019-12-12,916.05,921.87,915.55,921.09,3430011914
2019-12-13,921.09,922.97,918.33,920.23,3236161356
2019-12-16,920.25,926.06,920.25,924.16,3408628619
2019-12-17,924.16,926.26,924.16,926.16,3256597838
2019-12-18,926.17,929.01,926.17,928.7,3404220850
2019-12-19,928.7,931.15,928.68,931.13,3206512039
2019-12-20,931.15,933.71,931.15,932.88,5046906443
2019-12-23,932.87,934.5,932.43,934.43,2619883712
2019-12-24,934.43,935.97,934.43,935.76,1181650197
2019-12-26,935.77,938.17,935.77,937.77,1908703690
2019-12-27,937.77,938.91,935.27,935.91,2158983348
2019-12-30,935.92,936.17,933.54,933.81,2707530617
2019-12-31,933.8,936.71,932.75,936.65,2531799422
2020-01-02,936.68,940.43,936.07,939.27,3058951264
2020-01-03,939.26,939.26,935.43,937.73,2964759289
2020-01-06,937.72,939.42,935.22,939.15,3151434925
2020-01-07,939.15,939.15,936.84,937.84,2885488678
2020-01-08,937.84,939.27,936.64,937.42,3232646154
2020-01-09,937.42,938.96,937.1,938.12,3124409270
2020-01-10,938.11,938.64,935.54,936.11,2812593048
2020-01-13,936.1,940.1,935.12,940.1,3021906020
2020-01-14,940.09,943.4,938.97,941.74,3140840812
2020-01-15,941.74,944.68,941.35,943.13,3308958965
2020-01-16,943.14,948.61,943.14,948.61,3143578124
2020-01-17,948.62,950.43,948.01,948.74,3227369218
2020-01-21,948.75,948.75,943.61,943.83,3561071721
2020-01-22,943.86,945.95,942.89,943.29,3210181768
2020-01-23,943.29,943.29,936.7,941.93,3334556011
2020-01-24,941.94,942.86,932.02,934.46,3340757767
2020-01-27,934.45,934.45,922.88,923.2,3367082773
2020-01-28,923.2,929.1,923.2,928.31,3086577878
2020-01-29,928.39,930.93,926.86,926.86,3189381862
2020-01-30,926.81,926.81,919.38,924.9,3360252316
2020-01-31,924.87,924.87,912.22,913.3,3819432002
2020-02-03,913.33,919.4,913.33,916.68,3268308696
2020-02-04,916.84,926.15,916.84,924.53,3495818360
2020-02-05,924.59,933.77,924.59,933.72,3629908976
2020-02-06,933.72,935.48,931.87,932,3409192283
2020-02-07,931.95,931.95,925.28,925.74,3281956941
2020-02-10,925.7,926.84,924.18,926.82,3058990995
2020-02-11,926.82,933.12,926.82,931.44,3360420532
2020-02-12,931.45,936.15,931.45,935.61,3554784724
2020-02-13,935.61,935.61,932.19,933.86,3090429451
2020-02-14,933.81,934.83,931.87,933.57,3010972849
2020-02-18,933.57,933.57,929.61,931.65,3259415885
2020-02-19,931.66,935.35,931.66,934.02,3179012660
2020-02-20,934.02,936.83,931.23,935.22,3583142005
2020-02-21,935.21,935.23,928.58,929.27,3424216214
2020-02-24,929.26,929.26,906.57,907.69,4318232282
2020-02-25,907.7,910.01,884.96,885.45,4608443239
2020-02-26,885.46,891.43,878.22,878.23,4813035517
2020-02-27,878.2,878.2,851.94,854.17,5731907073
2020-02-28,853.99,853.99,830.71,841.96,6889500101
2020-03-02,841.99,858.17,837.93,858.13,5240834228
2020-03-03,858.13,866.82,844.25,848.42,5077241830
2020-03-04,848.48,864.57,848.48,864.57,4357442712
2020-03-05,864.57,864.57,838.97,842.41,4805626621
2020-03-06,842.33,842.33,817.01,825.02,5379579980
2020-03-09,824.97,824.97,780.04,780.04,5997552870
2020-03-10,780.05,799.11,774.83,797.82,6511287061
2020-03-11,797.81,797.81,753.35,758.01,6161592587
2020-03-12,757.93,757.93,678.89,679.03,7880617309
2020-03-13,679.05,715.35,679.05,715.35,6875508694
2020-03-16,714.78,714.78,638.45,638.52,7072431269
2020-03-17,638.51,652.64,626.52,644.98,6997059111
2020-03-18,644.63,644.63,546.28,561.67,7932468595
2020-03-19,561.66,600.06,547.75,596.64,7614238045
2020-03-20,596.79,621.73,589.85,590.42,8427929326
2020-03-23,590.42,590.42,556.67,565.74,6810502655
2020-03-24,566.02,608.48,566.02,607.69,7072009191
2020-03-25,607.77,652.18,607.77,637.81,7598656961
2020-03-26,637.82,674.02,637.82,671.51,7067844377
2020-03-27,671.32,671.32,647.17,652.08,5776078328
2020-03-30,652.08,652.69,641.75,652.23,5280422256
2020-03-31,652.23,658.07,646.98,650.18,5995480614
2020-04-01,650.16,650.16,613.72,616.65,5372870597
2020-04-02,616.64,630.18,613.21,620.7,5927253525
2020-04-03,620.7,620.77,600.74,606.36,5353597941
2020-04-06,606.56,639.84,606.56,639.37,5678679431
2020-04-07,639.39,667.54,639.39,651.17,6243202575
2020-04-08,651.17,677.05,651.17,675.88,5256198539
2020-04-09,675.89,706.91,675.89,700.72,7141854145
2020-04-13,700.73,703.04,683.79,690.91,4778169951
2020-04-14,690.95,707.15,690.95,701.89,5041618340
2020-04-15,701.8,701.8,678.12,682.92,4623340652
2020-04-16,682.92,684.56,672.71,675.89,4652515159
2020-04-17,675.96,695.78,675.96,695.37,5234463929
2020-04-20,695.35,695.35,682.75,684.85,4761375878
2020-04-21,684.84,684.84,669.32,672.9,4616656236
2020-04-22,672.9,682.86,672.9,680.81,4618727229
2020-04-23,681.26,693.68,681.26,687.34,5252435063
2020-04-24,687.34,692.1,683.59,690.28,4745589724
2020-04-27,690.28,706.7,690.28,705.39,4670314466
